"@title,""Spanish""";
"@language,""es-ES""";
"@scale,""auto""";
"@appli,""113 - Do not change""";
"@version,""1.16 - Do not change""";
"@author,""Corgi""";
"#00000,""1. Primera investigación""";
"#00001,""Cuando te sientas cómoda, ve a<br>Producción e investigación.""";
"#00002,""Investiga un producto.""";
"#00003,""2. Investigador novato""";
"#00004,""Investiga 5 productos.""";
"#00005,""3. Investigador experto""";
"#00006,""Investiga 10 productos.""";
"#00007,""4. Investigador veterano""";
"#00008,""Investiga 15 productos.""";
"#00009,""5. Investigador profesional""";
"#00010,""Investiga 20 productos.""";
"#00011,""6. Investigador muy profesional""";
"#00012,""Investiga 25 productos.""";
"#00013,""7. Investigador extra profesional""";
"#00014,""Investiga 30 productos.""";
"#00015,""8. Inventor""";
"#00016,""Investiga 35 productos.""";
"#00017,""9. Super Inventor""";
"#00018,""Investiga 40 productos.""";
"#00019,""10. Extra Inventor""";
"#00020,""Investiga 45 productos.""";
"#00021,""11. Profesor""";
"#00022,""Investiga 50 productos.""";
"#00023,""12. Mega Profesor""";
"#00024,""Investiga 55 productos.""";
"#00025,""13. Giga Profesor""";
"#00026,""Investiga 60 productos.""";
"#00027,""14. Rey Inventor""";
"#00028,""Investiga 65 productos.""";
"#00029,""15. Rey Mega Inventor""";
"#00030,""Investiga 70 productos.""";
"#00031,""16. Rey Giga Inventor""";
"#00032,""Investiga 75 productos.""";
"#00033,""17. Investigador Kairo""";
"#00034,""Investiga 80 productos.""";
"#00035,""18. Super Investigador Kairo""";
"#00036,""Investiga 85 productos.""";
"#00037,""19. Extra Investigador Kairo""";
"#00038,""Investiga 90 productos.""";
"#00039,""20. Mega Investigador Kairo""";
"#00040,""Investiga 95 productos.""";
"#00041,""21. Giga Investigador Kairo""";
"#00042,""Investiga 100 productos.""";
"#00043,""22. Investigador Kairo Plateado""";
"#00044,""Investiga 105 productos.""";
"#00045,""23. Investigador Kairo Dorado""";
"#00046,""Investiga 110 productos.""";
"#00047,""24. Investigador Kairo Platino""";
"#00048,""Investiga 115 productos.""";
"#00049,""25. Investigador Kairo Supremo""";
"#00050,""Investiga 120 productos.""";
"#00051,""26. Competidor Novato""";
"#00052,""Puedes participar en concursos de<br>ahora adelante. ¿Por qué no darle una oportunidad?""";
"#00053,""Gana una Competencia.""";
"#00054,""27. Triple Triunfador""";
"#00055,""Gana 3 Competencias.""";
"#00056,""28. Ganador Común""";
"#00057,""Gana 6 Competencias.""";
"#00058,""29. Estrella Naciente""";
"#00059,""Gana 9 Competencias.""";
"#00060,""30. Campeón""";
"#00061,""Gana 12 Competencias.""";
"#00062,""31. Emperador""";
"#00063,""Gana 15 Competencias.""";
"#00064,""32. Leyenda""";
"#00065,""Gana 18 Competencias.""";
"#00066,""33. Señor""";
"#00067,""Gana todas las competencias.""";
"#00068,""34. Sorteo Turistico""";
"#00069,""Máxima amabilidad con Dream Tours.""";
"#00070,""35. Dulces Sueños""";
"#00071,""Máxima amabilidad con G'night Beds.""";
"#00072,""36. Vacaciones Perfectas""";
"#00073,""Máxima amabilidad con Travel Mag.""";
"#00074,""37. Distribuidor de esquí""";
"#00075,""Máxima amabilidad con Skis & More Store.""";
"#00076,""38. Distribuidor de Tablas""";
"#00077,""Máxima amabilidad con SNO-Board Superstore.""";
"#00078,""39. Distribuidor de Trineos""";
"#00079,""Máxima amabilidad con Outdoors Generation.""";
"#00080,""40. Impacto local""";
"#00081,""Máxima amabilidad con The Den.""";
"#00082,""41. Favorito de los estudiantes""";
"#00083,""Máxima amabilidad con the School Ski Club.""";
"#00084,""42. Amante de los Hombres de Nieve""";
"#00085,""Máxima amabilidad con SPC.""";
"#00086,""43. Icono Fashionista""";
"#00087,""Máxima amabilidad con Polar Bear Fashion.""";
"#00088,""44. ¿Un Yeti?""";
"#00089,""Máxima amabilidad con Yeti Squad.""";
"#00090,""45. Santa's Helper""";
"#00091,""Máxima amabilidad con Santa.""";
"#00092,""46. Amigo Granjero""";
"#00093,""Máxima amabilidad con Clover Farm.""";
"#00094,""47. Cereza en la punta""";
"#00095,""Máxima amabilidad con Sakura Shrine.""";
"#00096,""48. Agroturismo""";
"#00097,""Máxima amabilidad con Agriculture Services.""";
"#00098,""49. El Alcalde y yo""";
"#00099,""Máxima amabilidad con the town mayor.""";
"#00100,""50. Observador de Estrellas""";
"#00101,""Máxima amabilidad con the Observatory.""";
"#00102,""51. Constructor Novato""";
"#00103,""Contruye un terreno por primera vez.""";
"#00104,""52. Constructor Experto""";
"#00105,""Contruye un terreno 10 veces.""";
"#00106,""53. Constructor Veterano""";
"#00107,""Construye un terreno 20 veces.""";
"#00108,""54. Constructor Profesional""";
"#00109,""Construye un terreno 30 veces.""";
"#00110,""55. Caballería azadora""";
"#00111,""Construye un terreno 40 veces.""";
"#00112,""56. Maestro de Caballería""";
"#00113,""Construye un terreno 50 veces.""";
"#00114,""57. Heroe de Caballería""";
"#00115,""Construye un terreno 60 veces.""";
"#00116,""58. Caballero de Escavadora""";
"#00117,""Construye un terreno 70 veces.""";
"#00118,""59. Maestro de Escavadora""";
"#00119,""Construye un terreno 80 veces.""";
"#00120,""60. Heroe de Escavadora""";
"#00121,""Construye un terreno 90 veces.""";
"#00122,""61. Caballería taladrera""";
"#00123,""Construye un terreno 100 veces.""";
"#00124,""62. Maestro Taladrero""";
"#00125,""Construye un terreno 110 veces.""";
"#00126,""63. Heroe Taladrero""";
"#00127,""Construye un terreno 120 veces.""";
"#00128,""64. Paisajista""";
"#00129,""Construye un terreno 130 veces.""";
"#00130,""65. Mega Paisajista""";
"#00131,""Construye un terreno 140 veces.""";
"#00132,""66. Giga Paisajista""";
"#00133,""Construye un terreno 150 veces.""";
"#00134,""67. Desarrollador Supremo""";
"#00135,""Construye en toda la montaña""";
"#00136,""68. Resort pequeño""";
"#00137,""Obten 10 visitantes diferentes.""";
"#00138,""69. Resort bonito""";
"#00139,""Obten 20 visitantes diferentes.""";
"#00140,""70. Resort popular""";
"#00141,""Obten 30 visitantes diferentes.""";
"#00142,""71. Trampa turistica""";
"#00143,""Obten 40 visitantes diferentes.""";
"#00144,""72. Resort famoso""";
"#00145,""Obten 50 visitantes diferentes.""";
"#00146,""73. Resort increible""";
"#00147,""Obten 60 visitantes diferentes.""";
"#00148,""74. Super Resort""";
"#00149,""Obten 70 visitantes diferentes.""";
"#00150,""75. Mega Resort""";
"#00151,""Obten 80 visitantes diferentes.""";
"#00152,""76. Resort gigante""";
"#00153,""Obten 90 visitantes diferentes.""";
"#00154,""77. Estación de esquí definitivo""";
"#00155,""Obtén cada visitante diferente.""";
"#00156,""78. Acomodado""";
"#00157,""Obtén 100,000G.""";
"#00158,""79. Bolsillos profundos""";
"#00159,""Obten 300,000G.""";
"#00160,""80. Pez gordo""";
"#00161,""Obten 500,000G.""";
"#00162,""81. Adinerado""";
"#00163,""Obten 800,000G.""";
"#00164,""82. Millonario""";
"#00165,""Obten 1,000,000G.""";
"#00166,""83. Multimillonario""";
"#00167,""Obten 3,000,000G.""";
"#00168,""84. Hecho de dinero""";
"#00169,""Obten 5,000,000G.""";
"#00170,""85. Vale la pena""";
"#00171,""Obten 8,000,000G.""";
"#00172,""86. Demasiados Ceros""";
"#00173,""Obten 10,000,000G.""";
"#00174,""87. Un Magnate""";
"#00175,""Obten 30,000,000G.""";
"#00176,""88. Magnate al cuadraro""";
"#00177,""Obten 50,000,000G.""";
"#00178,""89. Rueda con ellos""";
"#00179,""Obten 80,000,000G.""";
"#00180,""90. Ricachón""";
"#00181,""Obten 100,000,000G.""";
"#00182,""91. Hoteleria Novata""";
"#00183,""Expande tu hotel<br>Hazlo mas espacioso.""";
"#00184,""Expande tu hotel por primera vez.""";
"#00185,""92. Hoteleria experta""";
"#00186,""Expande el hotel una vez mas.""";
"#00187,""93. Hoteleria veterana""";
"#00188,""Expande el hotel aún mas.""";
"#00189,""94. Hoteleria maestra""";
"#00190,""Expande el hotel muchas veces.""";
"#00191,""95. Hoteleria increible""";
"#00192,""Expande el hotel horriblemente.""";
"#00193,""96. Hoteleria definitica""";
"#00194,""Expande el hotel lo mas grande posible.""";
"#00195,""97. Resort local""";
"#00196,""Añadir mas instalaciones al hotel<br>para alcanzar su popularidad.""";
"#00197,""Llega a Rango 2.""";
"#00198,""98. Resort mediano""";
"#00199,""Llega al rango 3.""";
"#00200,""99. Resort grande""";
"#00201,""Llega al rango 4.""";
"#00202,""100. Resort costoso""";
"#00203,""Llega al rango 5.""";
"#00204,""101. Resort Explendido""";
"#00205,""Llega al rango 6.""";
"#00206,""102. Resort maravilloso""";
"#00207,""Llega al rango 7.""";
"#00208,""103. Resort definitivo""";
"#00209,""Llega al rango 8.""";
"#00210,""104. Botana Alpina""";
"#00211,""crea 5 Productos comestibles.""";
"#00212,""105. Aperitivo alpino""";
"#00213,""crea 15 Productos comestibles.""";
"#00214,""106. Restaurante alpino""";
"#00215,""crea 25 Productos comestibles.""";
"#00216,""107. Cena Alpina""";
"#00217,""crea 35 Productos comestibles.""";
"#00218,""108. Conocedor Gourmet alpino""";
"#00219,""crea 45 Productos comestibles.""";
"#00220,""109. Gourmet alpino""";
"#00221,""crea 55 Productos comestibles.""";
"#00222,""110. Chef alpino""";
"#00223,""crea 65 Productos comestibles.""";
"#00224,""112. Banquete Alpino""";
"#00225,""crea 75 Productos comestibles.""";
"#00226,""112. Festín alpino""";
"#00227,""crea 85 Productos comestibles.""";
"#00228,""113. Supercomestible""";
"#00229,""crea 95 Productos comestibles.""";
"#00230,""114. Maestro de la comida""";
"#00231,""crea todos los Productos comestibles.""";
"#00232,""115. Es un combo!""";
"#00233,""Descubre un combo.""";
"#00234,""116. Buen lugar""";
"#00235,""Descubre 3 combos.""";
"#00236,""117. Detective de combos""";
"#00237,""Descubre 6 Combos.""";
"#00238,""118. Excelente planeador""";
"#00239,""Descubre 9 combos.""";
"#00240,""119. Táctico""";
"#00241,""Descubre 12 combos.""";
"#00242,""120. Estratega""";
"#00243,""Descubre 16 combos.""";
"#00244,""121. Malabarista combo""";
"#00245,""Descubre 18 combos.""";
"#00246,""122. Combo Virtuoso""";
"#00247,""Descubre 21 combos.""";
"#00248,""123. Profesional de combos""";
"#00249,""Descubre 24 combos.""";
"#00250,""124. Rey de los combos""";
"#00251,""Descubre 27 combos.""";
"#00252,""125. Visionario de combos""";
"#00253,""Descubre todos los combos.""";
"#00254,""126. Snowboarder""";
"#00255,""Ofrece servicios de renta de Snowboards.""";
"#00256,""127. Trineo""";
"#00257,""Ofrece servicios de renta de trineos.""";
"#00258,""128. Hora del mono""";
"#00259,""Encuentra a Chimpan Z.""";
"#00260,""129. Hora del Robot""";
"#00261,""Encuentra Kairobot.""";
"#00262,""Consejos 01""";
"#00263,""Si estás inseguro de hacer cualquier cosa<br>Ve a sistema y encuentra ayuda.""";
"#00264,""=MID(#00262,1,-2)&'02'""";
"#00265,""Los visitantes deberán tener dinero<br>para poder usar las instalaciones del hotel.""";
"#00266,""=MID(#00262,1,-2)&'03'""";
"#00267,""Instala un Cajero Automatico<br>Más dinero cuando los visitantes no tengan.""";
"#00268,""=MID(#00262,1,-2)&'04'""";
"#00269,""Bisitantes con alta apariencia<br>Obtienen mas XP.""";
"#00270,""=MID(#00262,1,-2)&'05'""";
"#00271,""Visitantes con alta apariencia<br>compran mas cosas.""";
"#00272,""=MID(#00262,1,-2)&'06'""";
"#00273,""La alta elevación, la frialdad<br>Lo es, por lo que los visitantes pierden HP.""";
"#00274,""=MID(#00262,1,-2)&'07'""";
"#00275,""Las aguas termales son la diversión definitiva.""";
"#00276,""=MID(#00262,1,-2)&'08'""";
"#00277,""Los visitantes quienes ya no tengan HP<br>se caerá.""";
"#00278,""=MID(#00262,1,-2)&'09'""";
"#00279,""Si cayeran, ganarán menos XP.""";
"#00280,""=MID(#00262,1,-2)&'10'""";
"#00281,""Un hotel mas bonito, traerá mas visitantes<br>Se convertiran interesados en el esquí.""";
"#00282,""=MID(#00262,1,-2)&'11'""";
"#00283,""Toca la barra derecha superior<br>para ver el mini mapa.""";
"#00284,""=MID(#00262,1,-2)&'12'""";
"#00285,""Nosotros esperamos una buena vista<br>de la noche estrellada de esquí.""";
"#00286,""Consejos: Construcción de tierras""";
"#00287,""Limpia una zona construible por tocar<br>los arboles que le siguen a la pista.""";
"#00288,""Consejos: Subiendo de nivel""";
"#00289,""Los requisitos para subir de nivel son<br>diferentes basado en tu nivel.""";
"#00290,""Consejos: Visitantes""";
"#00291,""Coloca instalaciones recientemente investigadas<br>para atraer nuevos visitantes.""";
"#00292,""Consejos: Encontrando minerales""";
"#00293,""Materiales conseguibles por construir terrenos<br>la tierra varia segun la temporada.""";
"#00294,""Consejos: Colocando Anuncios""";
"#00295,""La publicidad extensa es efectiva<br>en atraer mas tipos de visitantes.""";
"#00296,""Consejos: Anuncios repetitivos""";
"#00297,""Ejecutando la misma campaña<br>de nuevo atraerá mas personas.""";
"#00298,""Consejos: Planteamiento de instalaciones""";
"#00299,""Las instalaciones con las zonas verdes<br>sobre la pista puede afectar las instalaciones vecinas.""";
"#00300,""Consejos: Alzando el interes""";
"#00301,""El interes de los visitantes se alzan más rapido<br>si ellos usan mas instalaciones.""";
"#00302,""Consejos: Competencias""";
"#00303,""Las competencias de esquí solo se mantiene<br>cuando solo hay nieve.""";
"#00304,""Consejos: Logros""";
"#00305,""Chequea los logros en información,<br>O solo tocandome.""";
"#00306,""Consejos: Ascensores de Esquí""";
"#00307,""Un efecto de ascensor en la ruta de esquí<br>da vibras según su tipo.""";
"#00308,""Consejos: Barrido""";
"#00309,""Barrir antes de un salto de esquí<br>será mas efectivo.""";
"#00310,""Radio CM""";
"#00311,""Folletos""";
"#00312,""Cupónes""";
"#00313,""Avisos""";
"#00314,""Mascota famosa""";
"#00315,""Anuncios locales""";
